"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"DIP-8_W7.62mm_LongPads";1;"LM386";;;
2;"C11";"CP_Radial_D5.0mm_P2.00mm";1;"100µ";;;
3;"BT1";"PinHeader_1x02_P2.54mm_Vertical";1;"Battery";;;
4;"C9";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"150n";;;
5;"C10";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"330n";;;
6;"C12";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"47n";;;
7;"J4";"Jack_3.5mm_Ledino_KB3SPRS_Horizontal";1;"buchse";;;
8;"JP2";"PinHeader_1x03_P2.54mm_Vertical";1;"gain";;;
9;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"100k";;;
10;"R14";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"100";;;
11;"R15";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"10";;;
12;"R17";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"475k";;;
13;"R18,R19";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"1M";;;
14;"R20";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"12k";;;
15;"RV3";"Potentiometer_Piher_T-16H_Single_Horizontal";1;"10k";;;
16;"H1,H2,H3,H4";"MountingHole_3.2mm_M3";4;"MountingHole";;;
17;"J1";"PinHeader_1x01_P1.27mm_Vertical";1;"TP8";;;
18;"J2";"PinHeader_1x01_P1.27mm_Vertical";1;"TP3";;;
19;"J3";"PinHeader_1x01_P1.27mm_Vertical";1;"TP4";;;
20;"J5";"PinHeader_1x01_P1.27mm_Vertical";1;"TP2";;;
21;"J6";"PinHeader_1x01_P1.27mm_Vertical";1;"TP5";;;
22;"J7";"PinHeader_1x01_P1.27mm_Vertical";1;"TP7";;;
23;"J8";"PinHeader_1x01_P1.27mm_Vertical";1;"TP1";;;
24;"J9";"PinHeader_1x01_P1.27mm_Vertical";1;"TP6";;;
25;"J10";"PinHeader_1x02_P2.54mm_Vertical";1;"onoff";;;
26;"J11";"PinHeader_1x01_P1.27mm_Vertical";1;"TP9";;;
27;"U3";"DIP-8_W7.62mm_LongPads";1;"LM358";;;
28;"C8";"CP_Radial_D8.0mm_P3.50mm";1;"470µ";;;
29;"C13";"CP_Radial_D5.0mm_P2.00mm";1;"10µ";;;
30;"C14";"CP_Radial_D5.0mm_P2.00mm";1;"47µ";;;
31;"C1,C2";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"100n";;;
32;"Q3";"LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_Clear";1;"BPW40";;;
33;"C3";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"opt";;;
